time_min,X_db,T_C,v_ms,RH_pct,thickness_mm,run_id
9.551020408,6.395498392,50,1.1,36.5,10,T50_v1p1_t_10mm
11.75510204,6.318327974,50,1.1,36.5,10,T50_v1p1_t_10mm
15.42857143,6.250803859,50,1.1,36.5,10,T50_v1p1_t_10mm
18.36734694,6.192926045,50,1.1,36.5,10,T50_v1p1_t_10mm
21.30612245,6.125401929,50,1.1,36.5,10,T50_v1p1_t_10mm
24.24489796,6.067524116,50,1.1,36.5,10,T50_v1p1_t_10mm
27.18367347,6.009646302,50,1.1,36.5,10,T50_v1p1_t_10mm
28.65306122,5.961414791,50,1.1,36.5,10,T50_v1p1_t_10mm
32.32653061,5.884244373,50,1.1,36.5,10,T50_v1p1_t_10mm
35.26530612,5.807073955,50,1.1,36.5,10,T50_v1p1_t_10mm
39.67346939,5.710610932,50,1.1,36.5,10,T50_v1p1_t_10mm
41.87755102,5.633440514,50,1.1,36.5,10,T50_v1p1_t_10mm
45.55102041,5.556270096,50,1.1,36.5,10,T50_v1p1_t_10mm
49.2244898,5.469453376,50,1.1,36.5,10,T50_v1p1_t_10mm
53.63265306,5.372990354,50,1.1,36.5,10,T50_v1p1_t_10mm
57.30612245,5.295819936,50,1.1,36.5,10,T50_v1p1_t_10mm
62.44897959,5.22829582,50,1.1,36.5,10,T50_v1p1_t_10mm
66.85714286,5.122186495,50,1.1,36.5,10,T50_v1p1_t_10mm
72.73469388,5.064308682,50,1.1,36.5,10,T50_v1p1_t_10mm
77.87755102,4.967845659,50,1.1,36.5,10,T50_v1p1_t_10mm
85.2244898,4.852090032,50,1.1,36.5,10,T50_v1p1_t_10mm
91.10204082,4.774919614,50,1.1,36.5,10,T50_v1p1_t_10mm
95.51020408,4.678456592,50,1.1,36.5,10,T50_v1p1_t_10mm
100.6530612,4.610932476,50,1.1,36.5,10,T50_v1p1_t_10mm
107.2653061,4.524115756,50,1.1,36.5,10,T50_v1p1_t_10mm
113.877551,4.466237942,50,1.1,36.5,10,T50_v1p1_t_10mm
119.0204082,4.408360129,50,1.1,36.5,10,T50_v1p1_t_10mm
124.1632653,4.340836013,50,1.1,36.5,10,T50_v1p1_t_10mm
128.5714286,4.282958199,50,1.1,36.5,10,T50_v1p1_t_10mm
132.9795918,4.225080386,50,1.1,36.5,10,T50_v1p1_t_10mm
138.8571429,4.15755627,50,1.1,36.5,10,T50_v1p1_t_10mm
145.4693878,4.080385852,50,1.1,36.5,10,T50_v1p1_t_10mm
152.0816327,3.974276527,50,1.1,36.5,10,T50_v1p1_t_10mm
157.2244898,3.916398714,50,1.1,36.5,10,T50_v1p1_t_10mm
163.1020408,3.829581994,50,1.1,36.5,10,T50_v1p1_t_10mm
168.9795918,3.77170418,50,1.1,36.5,10,T50_v1p1_t_10mm
174.122449,3.713826367,50,1.1,36.5,10,T50_v1p1_t_10mm
178.5306122,3.636655949,50,1.1,36.5,10,T50_v1p1_t_10mm
185.877551,3.559485531,50,1.1,36.5,10,T50_v1p1_t_10mm
191.755102,3.491961415,50,1.1,36.5,10,T50_v1p1_t_10mm
197.6326531,3.414790997,50,1.1,36.5,10,T50_v1p1_t_10mm
206.4489796,3.308681672,50,1.1,36.5,10,T50_v1p1_t_10mm
213.7959184,3.21221865,50,1.1,36.5,10,T50_v1p1_t_10mm
218.2040816,3.154340836,50,1.1,36.5,10,T50_v1p1_t_10mm
223.3469388,3.096463023,50,1.1,36.5,10,T50_v1p1_t_10mm
227.755102,3.038585209,50,1.1,36.5,10,T50_v1p1_t_10mm
233.6326531,2.951768489,50,1.1,36.5,10,T50_v1p1_t_10mm
238.7755102,2.922829582,50,1.1,36.5,10,T50_v1p1_t_10mm
242.4489796,2.884244373,50,1.1,36.5,10,T50_v1p1_t_10mm
246.122449,2.836012862,50,1.1,36.5,10,T50_v1p1_t_10mm
250.5306122,2.797427653,50,1.1,36.5,10,T50_v1p1_t_10mm
255.6734694,2.729903537,50,1.1,36.5,10,T50_v1p1_t_10mm
258.6122449,2.691318328,50,1.1,36.5,10,T50_v1p1_t_10mm
263.0204082,2.662379421,50,1.1,36.5,10,T50_v1p1_t_10mm
266.6938776,2.61414791,50,1.1,36.5,10,T50_v1p1_t_10mm
271.1020408,2.556270096,50,1.1,36.5,10,T50_v1p1_t_10mm
275.5102041,2.52733119,50,1.1,36.5,10,T50_v1p1_t_10mm
279.9183673,2.488745981,50,1.1,36.5,10,T50_v1p1_t_10mm
283.5918367,2.440514469,50,1.1,36.5,10,T50_v1p1_t_10mm
287.2653061,2.40192926,50,1.1,36.5,10,T50_v1p1_t_10mm
291.6734694,2.353697749,50,1.1,36.5,10,T50_v1p1_t_10mm
297.5510204,2.295819936,50,1.1,36.5,10,T50_v1p1_t_10mm
302.6938776,2.237942122,50,1.1,36.5,10,T50_v1p1_t_10mm
306.3673469,2.209003215,50,1.1,36.5,10,T50_v1p1_t_10mm
308.5714286,2.160771704,50,1.1,36.5,10,T50_v1p1_t_10mm
313.7142857,2.102893891,50,1.1,36.5,10,T50_v1p1_t_10mm
318.8571429,2.064308682,50,1.1,36.5,10,T50_v1p1_t_10mm
323.2653061,2.025723473,50,1.1,36.5,10,T50_v1p1_t_10mm
327.6734694,1.996784566,50,1.1,36.5,10,T50_v1p1_t_10mm
332.8163265,1.958199357,50,1.1,36.5,10,T50_v1p1_t_10mm
335.755102,1.919614148,50,1.1,36.5,10,T50_v1p1_t_10mm
337.9591837,1.881028939,50,1.1,36.5,10,T50_v1p1_t_10mm
343.8367347,1.813504823,50,1.1,36.5,10,T50_v1p1_t_10mm
348.244898,1.774919614,50,1.1,36.5,10,T50_v1p1_t_10mm
352.6530612,1.736334405,50,1.1,36.5,10,T50_v1p1_t_10mm
357.0612245,1.707395498,50,1.1,36.5,10,T50_v1p1_t_10mm
360.7346939,1.659163987,50,1.1,36.5,10,T50_v1p1_t_10mm
