time_min,X_db,T_C,v_ms,RH_pct,thickness_mm,run_id
1.757188498,6.560669456,50,1.1,42.5,6,T50_v1p1
2.928647497,6.531380753,50,1.1,42.5,6,T50_v1p1
5.271565495,6.50209205,50,1.1,42.5,6,T50_v1p1
8.200212993,6.443514644,50,1.1,42.5,6,T50_v1p1
12.30031949,6.394700139,50,1.1,42.5,6,T50_v1p1
14.05750799,6.29707113,50,1.1,42.5,6,T50_v1p1
15.81469649,6.258019526,50,1.1,42.5,6,T50_v1p1
17.57188498,6.189679219,50,1.1,42.5,6,T50_v1p1
19.91480298,6.160390516,50,1.1,42.5,6,T50_v1p1
22.84345048,6.052998605,50,1.1,42.5,6,T50_v1p1
24.01490948,6.0041841,50,1.1,42.5,6,T50_v1p1
25.77209798,5.945606695,50,1.1,42.5,6,T50_v1p1
28.11501597,5.887029289,50,1.1,42.5,6,T50_v1p1
30.45793397,5.789400279,50,1.1,42.5,6,T50_v1p1
31.62939297,5.750348675,50,1.1,42.5,6,T50_v1p1
33.97231097,5.730822873,50,1.1,42.5,6,T50_v1p1
36.31522897,5.652719665,50,1.1,42.5,6,T50_v1p1
37.48668797,5.633193863,50,1.1,42.5,6,T50_v1p1
39.24387646,5.60390516,50,1.1,42.5,6,T50_v1p1
42.17252396,5.486750349,50,1.1,42.5,6,T50_v1p1
44.51544196,5.389121339,50,1.1,42.5,6,T50_v1p1
46.85835996,5.350069735,50,1.1,42.5,6,T50_v1p1
49.78700745,5.271966527,50,1.1,42.5,6,T50_v1p1
52.71565495,5.213389121,50,1.1,42.5,6,T50_v1p1
53.88711395,5.115760112,50,1.1,42.5,6,T50_v1p1
55.64430245,5.066945607,50,1.1,42.5,6,T50_v1p1
59.15867945,5.008368201,50,1.1,42.5,6,T50_v1p1
62.08732694,4.930264993,50,1.1,42.5,6,T50_v1p1
65.01597444,4.871687587,50,1.1,42.5,6,T50_v1p1
67.35889244,4.832635983,50,1.1,42.5,6,T50_v1p1
67.94462194,4.754532775,50,1.1,42.5,6,T50_v1p1
69.70181044,4.725244073,50,1.1,42.5,6,T50_v1p1
71.45899894,4.676429568,50,1.1,42.5,6,T50_v1p1
74.97337593,4.647140865,50,1.1,42.5,6,T50_v1p1
76.14483493,4.569037657,50,1.1,42.5,6,T50_v1p1
78.48775293,4.510460251,50,1.1,42.5,6,T50_v1p1
80.83067093,4.432357043,50,1.1,42.5,6,T50_v1p1
83.75931842,4.393305439,50,1.1,42.5,6,T50_v1p1
86.68796592,4.373779637,50,1.1,42.5,6,T50_v1p1
87.85942492,4.237099024,50,1.1,42.5,6,T50_v1p1
89.61661342,4.19804742,50,1.1,42.5,6,T50_v1p1
91.95953142,4.149232915,50,1.1,42.5,6,T50_v1p1
93.71671991,4.090655509,50,1.1,42.5,6,T50_v1p1
95.47390841,4.051603905,50,1.1,42.5,6,T50_v1p1
97.81682641,4.051603905,50,1.1,42.5,6,T50_v1p1
98.98828541,3.973500697,50,1.1,42.5,6,T50_v1p1
101.3312034,3.963737796,50,1.1,42.5,6,T50_v1p1
104.2598509,3.944211994,50,1.1,42.5,6,T50_v1p1
106.0170394,3.827057183,50,1.1,42.5,6,T50_v1p1
107.7742279,3.788005579,50,1.1,42.5,6,T50_v1p1
111.8743344,3.709902371,50,1.1,42.5,6,T50_v1p1
114.2172524,3.651324965,50,1.1,42.5,6,T50_v1p1
116.5601704,3.582984658,50,1.1,42.5,6,T50_v1p1
120.0745474,3.50488145,50,1.1,42.5,6,T50_v1p1
124.1746539,3.456066946,50,1.1,42.5,6,T50_v1p1
125.9318424,3.39748954,50,1.1,42.5,6,T50_v1p1
128.8604899,3.348675035,50,1.1,42.5,6,T50_v1p1
131.7891374,3.29986053,50,1.1,42.5,6,T50_v1p1
133.5463259,3.260808926,50,1.1,42.5,6,T50_v1p1
135.8892439,3.211994421,50,1.1,42.5,6,T50_v1p1
137.0607029,3.182705718,50,1.1,42.5,6,T50_v1p1
138.2321619,3.124128312,50,1.1,42.5,6,T50_v1p1
141.7465389,3.036262204,50,1.1,42.5,6,T50_v1p1
144.6751864,3.036262204,50,1.1,42.5,6,T50_v1p1
147.0181044,3.016736402,50,1.1,42.5,6,T50_v1p1
148.1895634,2.958158996,50,1.1,42.5,6,T50_v1p1
150.5324814,2.928870293,50,1.1,42.5,6,T50_v1p1
151.7039404,2.889818689,50,1.1,42.5,6,T50_v1p1
154.0468584,2.821478382,50,1.1,42.5,6,T50_v1p1
156.9755059,2.80195258,50,1.1,42.5,6,T50_v1p1
159.9041534,2.723849372,50,1.1,42.5,6,T50_v1p1
162.8328009,2.714086471,50,1.1,42.5,6,T50_v1p1
164.0042599,2.684797768,50,1.1,42.5,6,T50_v1p1
168.1043663,2.567642957,50,1.1,42.5,6,T50_v1p1
169.8615548,2.538354254,50,1.1,42.5,6,T50_v1p1
172.7902023,2.49930265,50,1.1,42.5,6,T50_v1p1
175.1331203,2.470013947,50,1.1,42.5,6,T50_v1p1
177.4760383,2.421199442,50,1.1,42.5,6,T50_v1p1
179.8189563,2.382147838,50,1.1,42.5,6,T50_v1p1
183.3333333,2.294281729,50,1.1,42.5,6,T50_v1p1
187.4334398,2.274755927,50,1.1,42.5,6,T50_v1p1
190.3620873,2.186889819,50,1.1,42.5,6,T50_v1p1
194.4621938,2.186889819,50,1.1,42.5,6,T50_v1p1
196.2193823,2.138075314,50,1.1,42.5,6,T50_v1p1
197.9765708,2.09902371,50,1.1,42.5,6,T50_v1p1
200.3194888,2.069735007,50,1.1,42.5,6,T50_v1p1
203.2481363,2.030683403,50,1.1,42.5,6,T50_v1p1
205.0053248,2.0013947,50,1.1,42.5,6,T50_v1p1
207.9339723,1.962343096,50,1.1,42.5,6,T50_v1p1
210.2768903,1.90376569,50,1.1,42.5,6,T50_v1p1
214.3769968,1.854951185,50,1.1,42.5,6,T50_v1p1
217.8913738,1.815899582,50,1.1,42.5,6,T50_v1p1
219.6485623,1.767085077,50,1.1,42.5,6,T50_v1p1
222.5772098,1.718270572,50,1.1,42.5,6,T50_v1p1
225.5058573,1.69874477,50,1.1,42.5,6,T50_v1p1
226.6773163,1.659693166,50,1.1,42.5,6,T50_v1p1
230.7774228,1.610878661,50,1.1,42.5,6,T50_v1p1
233.7060703,1.571827057,50,1.1,42.5,6,T50_v1p1
236.0489883,1.532775453,50,1.1,42.5,6,T50_v1p1
239.5633653,1.483960948,50,1.1,42.5,6,T50_v1p1
243.0777423,1.435146444,50,1.1,42.5,6,T50_v1p1
246.5921193,1.435146444,50,1.1,42.5,6,T50_v1p1
247.7635783,1.386331939,50,1.1,42.5,6,T50_v1p1
250.6922258,1.366806137,50,1.1,42.5,6,T50_v1p1
252.4494143,1.317991632,50,1.1,42.5,6,T50_v1p1
254.2066028,1.269177127,50,1.1,42.5,6,T50_v1p1
258.3067093,1.259414226,50,1.1,42.5,6,T50_v1p1
262.4068158,1.230125523,50,1.1,42.5,6,T50_v1p1
266.5069223,1.132496513,50,1.1,42.5,6,T50_v1p1
270.0212993,1.083682008,50,1.1,42.5,6,T50_v1p1
272.3642173,1.054393305,50,1.1,42.5,6,T50_v1p1
276.4643237,1.025104603,50,1.1,42.5,6,T50_v1p1
281.7358892,0.976290098,50,1.1,42.5,6,T50_v1p1
285.8359957,0.937238494,50,1.1,42.5,6,T50_v1p1
288.1789137,0.907949791,50,1.1,42.5,6,T50_v1p1
291.6932907,0.878661088,50,1.1,42.5,6,T50_v1p1
295.2076677,0.849372385,50,1.1,42.5,6,T50_v1p1
298.7220447,0.829846583,50,1.1,42.5,6,T50_v1p1
303.9936102,0.80055788,50,1.1,42.5,6,T50_v1p1
308.6794462,0.741980474,50,1.1,42.5,6,T50_v1p1
312.1938232,0.741980474,50,1.1,42.5,6,T50_v1p1
315.7082002,0.70292887,50,1.1,42.5,6,T50_v1p1
318.6368477,0.644351464,50,1.1,42.5,6,T50_v1p1
321.5654952,0.605299861,50,1.1,42.5,6,T50_v1p1
325.6656017,0.585774059,50,1.1,42.5,6,T50_v1p1
328.5942492,0.585774059,50,1.1,42.5,6,T50_v1p1
333.8658147,0.566248257,50,1.1,42.5,6,T50_v1p1
337.3801917,0.527196653,50,1.1,42.5,6,T50_v1p1
340.8945687,0.488145049,50,1.1,42.5,6,T50_v1p1
344.9946752,0.449093445,50,1.1,42.5,6,T50_v1p1
349.0947817,0.449093445,50,1.1,42.5,6,T50_v1p1
353.1948882,0.370990237,50,1.1,42.5,6,T50_v1p1
356.7092652,0.370990237,50,1.1,42.5,6,T50_v1p1
360.2236422,0.361227336,50,1.1,42.5,6,T50_v1p1
363.1522897,0.361227336,50,1.1,42.5,6,T50_v1p1
367.2523962,0.351464435,50,1.1,42.5,6,T50_v1p1
371.3525027,0.351464435,50,1.1,42.5,6,T50_v1p1
375.4526092,0.322175732,50,1.1,42.5,6,T50_v1p1
379.5527157,0.312412831,50,1.1,42.5,6,T50_v1p1
385.4100106,0.30264993,50,1.1,42.5,6,T50_v1p1
388.9243876,0.292887029,50,1.1,42.5,6,T50_v1p1
394.1959531,0.283124128,50,1.1,42.5,6,T50_v1p1
398.8817891,0.273361227,50,1.1,42.5,6,T50_v1p1
402.9818956,0.273361227,50,1.1,42.5,6,T50_v1p1
407.0820021,0.273361227,50,1.1,42.5,6,T50_v1p1
411.7678381,0.273361227,50,1.1,42.5,6,T50_v1p1
413.5250266,0.234309623,50,1.1,42.5,6,T50_v1p1
